,word,rank,layer
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,1
9,так,30,2
9,так,30,3
9,так,30,4
9,так,30,4
9,так,30,4
9,так,30,4
9,так,30,5
9,так,30,5
9,так,30,5
9,так,30,6
9,так,30,7
9,так,30,7
9,так,30,9
9,так,30,9
9,так,30,9
9,так,30,11
10,год,36,0
10,год,36,0
10,год,36,0
10,год,36,1
10,год,36,1
10,год,36,1
10,год,36,1
10,год,36,1
10,год,36,1
10,год,36,1
10,год,36,1
10,год,36,2
10,год,36,4
10,год,36,4
10,год,36,5
10,год,36,5
10,год,36,5
10,год,36,6
10,год,36,6
10,год,36,7
10,год,36,9
11,человек,40,0
11,человек,40,0
11,человек,40,0
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,1
11,человек,40,2
11,человек,40,3
11,человек,40,3
11,человек,40,4
11,человек,40,4
11,человек,40,4
11,человек,40,5
11,человек,40,5
11,человек,40,5
11,человек,40,5
11,человек,40,5
11,человек,40,5
11,человек,40,6
11,человек,40,6
11,человек,40,6
11,человек,40,6
11,человек,40,7
11,человек,40,7
11,человек,40,7
11,человек,40,7
11,человек,40,8
11,человек,40,9
11,человек,40,9
11,человек,40,11
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,0
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,1
12,только,41,2
12,только,41,2
12,только,41,4
12,только,41,4
12,только,41,4
12,только,41,4
12,только,41,4
12,только,41,5
12,только,41,5
12,только,41,5
12,только,41,5
12,только,41,6
12,только,41,7
12,только,41,9
12,только,41,10
13,себя,44,0
13,себя,44,0
13,себя,44,0
13,себя,44,0
13,себя,44,0
13,себя,44,0
13,себя,44,0
13,себя,44,0
13,себя,44,0
13,себя,44,0
13,себя,44,0
